date,tournament,adversario,categoria_adversario,rank,gols_brasil,gols_adversario
2019-11-19,Friendly,Korea Republic,C,39.0,3.0,0.0
2020-10-09,FIFA World Cup qualification,Bolivia,E,75.0,5.0,0.0
2020-10-13,FIFA World Cup qualification,Peru,B,22.0,4.0,2.0
2020-11-13,FIFA World Cup qualification,Venezuela,C,28.0,1.0,0.0
2020-11-17,FIFA World Cup qualification,Uruguay,A,7.0,2.0,0.0
2021-06-04,FIFA World Cup qualification,Ecuador,D,53.0,2.0,0.0
2021-06-08,FIFA World Cup qualification,Paraguay,C,35.0,2.0,0.0
2021-06-13,Copa América,Venezuela,C,30.0,3.0,0.0
2021-06-17,Copa América,Peru,C,27.0,4.0,0.0
2021-06-23,Copa América,Colombia,B,15.0,2.0,1.0
2021-06-27,Copa América,Ecuador,D,53.0,1.0,1.0
2021-07-02,Copa América,Chile,B,19.0,1.0,0.0
2021-07-05,Copa América,Peru,C,27.0,1.0,0.0
2021-07-10,Copa América,Argentina,A,8.0,0.0,1.0
2021-09-02,FIFA World Cup qualification,Chile,B,20.0,1.0,0.0
2021-09-09,FIFA World Cup qualification,Peru,B,22.0,2.0,0.0
2021-10-07,FIFA World Cup qualification,Venezuela,D,49.0,3.0,1.0
2021-10-10,FIFA World Cup qualification,Colombia,B,16.0,0.0,0.0
2021-10-14,FIFA World Cup qualification,Uruguay,B,12.0,4.0,1.0
2021-11-11,FIFA World Cup qualification,Colombia,B,16.0,1.0,0.0
2021-11-16,FIFA World Cup qualification,Argentina,A,6.0,0.0,0.0
2022-01-27,FIFA World Cup qualification,Ecuador,D,46.0,1.0,1.0
2022-02-01,FIFA World Cup qualification,Paraguay,D,43.0,4.0,0.0
2022-03-24,FIFA World Cup qualification,Chile,C,26.0,4.0,0.0
2022-03-29,FIFA World Cup qualification,Bolivia,E,76.0,4.0,0.0
2022-06-02,Friendly,Korea Republic,C,29.0,5.0,1.0
2022-06-06,Friendly,Japan,B,23.0,1.0,0.0
2022-09-23,Friendly,Ghana,D,60.0,3.0,0.0
2022-09-27,Friendly,Tunisia,C,30.0,5.0,1.0
2022-11-24,FIFA World Cup,Serbia,B,21.0,2.0,0.0
2022-11-28,FIFA World Cup,Switzerland,B,15.0,1.0,0.0
2022-12-02,FIFA World Cup,Cameroon,D,43.0,0.0,1.0
2022-12-05,FIFA World Cup,Korea Republic,C,28.0,4.0,1.0
2022-12-09,FIFA World Cup,Croatia,B,12.0,1.0,1.0
2023-03-25,Friendly,Morocco,B,11.0,1.0,2.0
2023-06-17,Friendly,Guinea,E,79.0,4.0,1.0
2023-06-20,Friendly,Senegal,B,18.0,2.0,4.0
2023-09-08,FIFA World Cup qualification,Bolivia,E,83.0,5.0,1.0
2023-09-12,FIFA World Cup qualification,Peru,B,21.0,1.0,0.0
2023-10-12,FIFA World Cup qualification,Venezuela,D,53.0,1.0,1.0
2023-10-17,FIFA World Cup qualification,Uruguay,B,17.0,0.0,2.0
2023-11-16,FIFA World Cup qualification,Colombia,B,17.0,1.0,2.0
2023-11-21,FIFA World Cup qualification,Argentina,A,1.0,0.0,1.0
2024-03-23,Friendly,England,A,3.0,1.0,0.0
2024-03-26,Friendly,Spain,A,8.0,3.0,3.0
2024-06-08,Friendly,Mexico,B,14.0,3.0,2.0
2024-06-12,Friendly,USA,B,11.0,1.0,1.0
2024-06-24,Copa América,Costa Rica,D,52.0,0.0,0.0
2024-06-28,Copa América,Paraguay,D,56.0,4.0,1.0
2024-07-02,Copa América,Colombia,B,12.0,1.0,1.0
2024-07-06,Copa América,Uruguay,B,15.0,0.0,0.0
2024-09-06,FIFA World Cup qualification,Ecuador,C,31.0,1.0,0.0
2024-09-10,FIFA World Cup qualification,Paraguay,D,56.0,0.0,1.0
2024-10-10,FIFA World Cup qualification,Chile,D,42.0,2.0,1.0
2024-10-15,FIFA World Cup qualification,Peru,C,32.0,4.0,0.0
2024-11-14,FIFA World Cup qualification,Venezuela,D,54.0,1.0,1.0
2024-11-19,FIFA World Cup qualification,Uruguay,B,15.0,1.0,1.0
2025-03-20,FIFA World Cup qualification,Colombia,B,12.0,2.0,1.0
2025-03-25,FIFA World Cup qualification,Argentina,A,1.0,1.0,4.0
2025-06-05,FIFA World Cup qualification,Ecuador,C,31.0,0.0,0.0
2025-06-10,FIFA World Cup qualification,Paraguay,D,56.0,1.0,0.0
2025-09-04,FIFA World Cup qualification,Chile,D,42.0,3.0,0.0
2025-09-09,FIFA World Cup qualification,Bolivia,E,85.0,0.0,1.0
2025-10-10,Friendly,Korea Republic,B,23.0,5.0,0.0
2025-10-14,Kirin Cup,Japan,B,18.0,2.0,3.0
2025-11-15,Friendly,Senegal,B,17.0,2.0,0.0
2025-11-18,Friendly,Tunisia,D,41.0,1.0,1.0
2026-03-26,Friendly,France,A,2.0,1.0,2.0
2026-03-31,Friendly,Croatia,A,10.0,3.0,1.0
2026-06-13,FIFA World Cup,Morocco,B,13.0,,
2026-06-19,FIFA World Cup,Haiti,E,90.0,,
2026-06-24,FIFA World Cup,Scotland,C,39.0,,
